question,document
Did the court provide any guidance on what constitutes an unreasonable refusal of a Calderbank offer?,8f7d91cf
What circumstances does the court consider when determining whether the offeree's conduct was reasonable?,8f7d91cf
How does the court evaluate the reasonableness of the offeree's conduct when viewing it in light of the circumstances that existed at the time of the offer's rejection?,8f7d91cf
How does the court's approach to rolled-up offers affect the weight given to an offer in the exercise of a discretion?,354b4fd9
What is the significance of Hill J's statement in John S Hayes & Associates Pty Ltd v Kimberly-Clark Australia Pty Ltd (1994) 52 FCR 201 that 'care must be taken not to circumscribe the discretion by reference to closed categories'?,1a6f3b8c
How does the principle of not fettering the discretion by transforming approaches and practices into quasi-statutory rules relate to the exercise of judicial discretion in legal proceedings?,1a6f3b8c
Can you provide examples of how the court has exercised its discretion in cases where the parties have attempted to circumscribe the discretion through reference to closed categories or otherwise?,1a6f3b8c
What is the level of unreasonableness necessary to attract the discretion in a case like this?,a74a432b
Was UWA's refusal of Sirtex's offer unreasonable given the circumstances at the time?,a74a432b
"Did Sirtex act reasonably in making its counter-offer, and if so, did it have any impact on UWA's decision to refuse the initial offer?",a74a432b
What is the significance of Stone J's statement in Hexal v Roche that the likelihood of irreparable harm was a separate element that had to be established by an applicant for an interlocutory injunction?,2493916e
How did Justice Weinberg use the passage from Mason ACJ's judgment in Castlemaine Tooheys Ltd v South Australia to support the proposition that likelihood of irreparable harm is a separate element?,2493916e
What was the outcome of the hearing regarding costs for the parties in this matter?,2493916e
How does the passage from Castlemaine Tooheys Ltd v South Australia support the proposition that a separate element must be established by an applicant for an interlocutory injunction?,36e09de2
What is the likelihood of irreparable harm regarded by Stone J in Hexal Australia Pty Ltd v Roche Therapeutics Inc?,36e09de2
Can you provide additional examples or cases where the proposition that a separate element must be established has been applied in the context of interlocutory injunctions?,36e09de2
What is the court's approach to granting quia timet injunctions?,cac98d86
How does the court determine whether an apprehended injury is sufficiently likely to occur to justify intervention?,cac98d86
Are there any specific requirements or considerations that the court takes into account when evaluating a quia timet application?,cac98d86
What is the usual position when a cheque is given in payment of a debt?,d128c173
How does the condition subsequent rule apply to payments made by cheque?,d128c173
Can you explain the reasoning behind the court's decision in this case regarding the payment of the debt due to the Commonwealth?,d128c173
What is the legal definition of legal tender?,a0078885
Can a cheque be considered a form of legal tender?,a0078885
In what circumstances can a payment by cheque be considered sufficient?,a0078885
What is the conclusion reached by Zeeman J in the case of Deputy Commissioner of Taxation v Guy Holdings Pty Ltd?,88d68e4a
How did Gyles J agree with Zeeman J's conclusion in the same case?,88d68e4a
Can you provide an example of a situation where the Court would exercise its discretion to wind up a company under section 467 of the Corporations Act?,88d68e4a
What is the legal precedent established in Morales v Minister for Immigration and Multicultural Affairs?,2e80a9cc
Can issue estoppel be founded in this case?,2e80a9cc
Is there any relevance of the history of the proceedings from the decision of the delegate to the High Court?,2e80a9cc
What is the primary decision-maker's function in determining credibility of witnesses?,9f87aa04
How does the lack of detailed reasons given by the primary decision-maker for not believing a particular witness affect the tribunal's decision?,9f87aa04
Can you provide examples of how the tribunal might give reasons for its decision without necessarily rejecting individual pieces of evidence?,9f87aa04
What is the definition of 'perverse' in the context of decision making?,c384c0f1
Can you provide examples of how a decision can be considered perverse beyond power?,c384c0f1
In what cases might the failure to exercise a power be considered a serious failure in the decision-making process?,c384c0f1
What is the definition of 'good faith' in the context of fact-finding in a legal proceeding?,28766288
Can a finding of fact made by a tribunal or court be set aside if it was not made in good faith?,28766288
What is the significance of the High Court's remittal of the matter to the tribunal in the case of Waterford v Commonwealth?,28766288
What is the nature of the dispute between Elderslie Finance Corp Ltd and the Australian Securities Commission?,a0eae858
What is the significance of the case in the context of corporate governance and regulatory compliance?,a0eae858
How did the court resolve the dispute and what were the implications for future cases?,a0eae858
